Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
1,7992,0.16570280331594875,1.7391451712671764,0.23739604261012165,8.222993802172494,2.523959572409693,12.889197391775435,-199.6954307845944
2025,12,0.16570280331594875,1.7391451712671764,0.23739603921365915,8.222992830501882,2.523959572409693,12.889196416708359,-199.69544054967702
2026,12,0.16570280331594875,1.7391451712671764,0.23739603588139566,8.222991877197474,2.523959572409693,12.889195460071688,-199.69545012160063
2027,12,0.16570280331594875,1.7391451712671764,0.23739603261211714,8.222990941912116,2.523959572409693,12.88919452151705,-199.69545950417856
2028,12,0.016572962767380364,1.301701438238578,0.1874767976235152,8.16252557213965,2.523959572409693,12.192236343178816,-211.110040514062
2029,12,0.016570280379843646,0.9865125428978337,0.1440839165704621,8.068571003609218,2.523959572409693,11.73969731586705,-219.2425269183963
2030,12,0.01657028033159574,0.759411244501535,0.11482381271244291,7.963608041901209,2.523959572409693,11.378372951856475,-226.19632471917305
2031,12,0.01657028033159487,0.5957792114709041,0.09473024234825844,7.851545277912973,2.523959572409693,11.082584584473423,-232.2230776515648
2032,12,0.01657028033159487,0.47787833453706313,0.08071112157597246,7.735122192150684,2.523959572409693,10.834241501005007,-237.53441235100848
2033,12,0.01657028033159487,0.39292787267262724,0.07079274121092921,7.6162665864793535,2.523959572409693,10.620517053104198,-242.30172787588833
2034,12,0.01657028033159487,0.3317189897647379,0.0636858423729532,7.496337471311719,2.523959572409693,10.432272156190699,-246.66025301394168
2035,12,0.01657028033159487,0.2876164944444601,0.0585308962433041,7.376292526262069,2.523959572409693,10.262969769691122,-250.7147120523431
2036,12,0.01657028033159487,0.25583956924878026,0.05474485127182967,7.256804813764878,2.523959572409693,10.107919087026776,-254.54511982386475
2037,12,0.01657028033159487,0.23294351841177585,0.051926536686402354,7.138344809643591,2.523959572409693,9.963744717483058,-258.21200536135933
2038,12,0.01657028033159487,0.21644635448850358,0.04979677500776012,7.021238427086886,2.523959572409693,9.828011409324438,-261.76081161634465
2039,12,0.01657028033159487,0.20455974489592446,0.048159554902650135,6.905708257309753,2.523959572409693,9.698957409849616,-265.225451521792
2040,12,0.01657028033159487,0.19599515232331405,0.04687631487069226,6.791902986123638,2.523959572409693,9.575304306058932,-268.6311062043443
2041,12,0.01657028033159487,0.1898241541624417,0.04584859501189611,6.679918431435637,2.523959572409693,9.456121033351263,-271.9963873280431
2042,12,0.01657028033159487,0.18537779924495576,0.04500615445917663,6.569812616880228,2.523959572409693,9.340726423325648,-275.33498719352644
2043,12,0.01657028033159487,0.18217409191319783,0.04429873230941705,6.461616586768184,2.523959572409693,9.228619263732087,-278.6569268154839
2044,12,0.01657028033159487,0.17986574252183551,0.043690279783539024,6.355342172671328,2.523959572409693,9.11942804771799,-281.96949395773896
2045,12,0.01657028033159487,0.17820252039795978,0.04315489247712618,6.2509875741372065,2.523959572409693,9.01287483975358,-285.2779449305497
2046,12,0.01657028033159487,0.17700412822920872,0.042673925498641775,6.148541369979335,2.523959572409693,8.908749276448473,-288.5860279082242
2047,12,0.01657028033159487,0.17614065739779794,0.0422339389191788,6.047985401691865,2.523959572409693,8.80688985075013,-291.8963722188864
2048,12,0.01657028033159487,0.17551850557125998,0.041825229989817095,5.949296845767913,2.523959572409693,8.707170434070278,-295.2107774268107
2049,12,0.01657028033159487,0.1750702299825732,0.04144078213297826,5.852449702453302,2.523959572409693,8.609490567310141,-298.53042773243044
2050,12,0.01657028033159487,0.17474723647063473,0.04107551109041358,5.757415864503468,2.523959572409693,8.513768464805803,-301.85605084409195
2051,12,0.01657028033159487,0.1745145117553318,0.04072572353916476,5.6641658836017355,2.523959572409693,8.41993597163752,-305.1880356353997
2052,12,0.01657028033159487,0.17434682791305348,0.040388727938491166,5.572669519111331,2.523959572409693,8.327934927704163,-308.52651925262245
2053,12,0.01657028033159487,0.17422600760858073,0.040062554614900325,5.482896130115256,2.523959572409693,8.237714545080024,-311.87145160009555
2054,12,0.01657028033159487,0.17413895362785997,0.039745754321837794,5.394814954633743,2.523959572409693,8.149229515324729,-315.2226430874231
2055,12,0.01657028033159487,0.1740762291082322,0.0394372532200438,5.308395307627362,2.523959572409693,8.062438642696925,-318.57979999982877
2056,12,0.01657028033159487,0.1740310345596319,0.039136248446592706,5.22360672055123,2.523959572409693,7.977303856298743,-321.942550721359
2057,12,0.01657028033159487,0.17399847078337177,0.0388421328958196,5.14041903885842,2.523959572409693,7.893789495278899,-325.3104652008709
2058,12,0.01657028033159487,0.17397500778712194,0.0385544410308442,5.058802489264533,2.523959572409693,7.811861790823787,-328.6830694282472
2059,12,0.01657028033159487,0.17395810212517965,0.038272809839216146,4.978727725282067,2.523959572409693,7.7314884899877505,-332.0598562272774
2060,12,0.01657028033159487,0.1739459211827857,0.037996950695681854,4.900165857153714,2.523959572409693,7.65263858177347,-335.4402933304853
2061,12,0.01657028033159487,0.1739371445162399,0.03772662908149739,4.823088470599275,2.523959572409693,7.575282096938301,-338.8238294488065
2062,12,0.01657028033159487,0.1739308207136009,0.03746164996345406,4.747467637556071,2.523959572409693,7.499389960974414,-342.20989886247287
2063,12,0.01657028033159487,0.17392626425932425,0.03720184725036592,4.67327592120284,2.523959572409693,7.424933885453818,-345.5979249215534
2064,12,0.01657028033159487,0.17392298122271477,0.03694707618729284,4.600486376916056,2.523959572409693,7.351886287067352,-348.98732274271424
2065,12,0.01657028033159487,0.17392061571464096,0.03669720786646095,4.529072550345911,2.523959572409693,7.280220226668302,-352.3775013135341
